convocation_no	year_stream_no	year_no	stream_no	announcement_link	announcement_link_date	announcement_link_time	election_date	stream_size	voted_cnt	NOTA_cnt	invalid_cnt	result_link	result_link_date	result_link_time
10	4.1	4.0	1.0	https://vk.com/wall-33327655_9181	2020-11-01	21:54	2020-11-02	91.0	54.0	0.0	1.0	https://vk.com/wall-33327655_9316	2020-11-08	17:18
4	4.2	4.0	2.0	https://vk.com/wall-33327655_2211	2014-11-16	21:56	2014-11-17	102.0	54.0	0.0	0.0	https://vk.com/wall-33327655_2241	2014-11-21	21:50
5	4.2	4.0	2.0	https://vk.com/wall-33327655_3335	2015-10-19	0:39	2015-10-19	99.0	52.0	6.0	0.0	https://vk.com/wall-33327655_3412	2015-10-20	20:28
6	4.2	4.0	2.0	https://vk.com/wall-33327655_5242	2016-10-20	23:08	2016-10-20	77.0	41.0	0.0	0.0	https://vk.com/wall-33327655_5257	2016-10-21	16:30
7	4.2	4.0	2.0	https://vk.com/wall-33327655_6581	2017-10-10	22:44	2017-10-11	81.0	43.0	0.0	0.0	https://vk.com/wall-33327655_6624	2017-10-20	19:00
8	4.2	4.0	2.0	https://vk.com/wall-33327655_7735	2018-11-15	0:02	2018-11-15	76.0	40.0	0.0	1.0	https://vk.com/wall-33327655_7741	2018-11-15	20:20
10	4.2	4.0	2.0	https://vk.com/wall-33327655_9157	2020-10-30	20:04	2020-10-31	116.0	58.0	2.0	0.0	https://vk.com/wall-33327655_9333	2020-11-10	21:09
10	4.2	4.0	2.0	https://vk.com/wall-33327655_9166	2020-10-31	12:00	2020-10-31	116.0	58.0	2.0	0.0	https://vk.com/wall-33327655_9333	2020-11-10	21:09
4	4.3	4.0	3.0	https://vk.com/wall-33327655_2212	2014-11-16	21:59	2014-11-17	82.0	43.0	9.0	0.0	https://vk.com/wall-33327655_2242	2014-11-21	22:00
5	4.3	4.0	3.0	https://vk.com/wall-33327655_3294	2015-10-16	1:10	2015-10-16	87.0	50.0	1.0	0.0	https://vk.com/wall-33327655_3321	2015-10-17	20:57
